Threshold 1,Threshold 2,Threshold 3,Threshold 4
-0.4271,0.8707,2.2086,3.1729
-0.538,0.6746,1.4325,2.6219
-2.024,-0.6276,0.8315,1.6901
-1.6764,-0.1577,1.167,1.874
-0.6826,0.8884,1.7903,2.9425
-2.9467,-1.6746,-0.3566,0.8507
-0.5125,0.7619,1.7508,2.2217
